OrderDetailID,OrderID,ProductID,Quantity
OD001,O001,P001,5
OD002,O001,P002,10
OD003,O002,P003,20
OD004,O002,P004,4
OD005,O003,P005,6
OD006,O003,P006,3
OD007,O004,P002,8
OD008,O004,P009,5
OD009,O005,P001,10
OD010,O005,P007,2
OD011,O006,P003,15
OD012,O006,P010,4
OD013,O007,P001,8
OD014,O007,P009,10
OD015,O008,P004,6
OD016,O008,P005,3
OD017,O009,P006,5
OD018,O009,P007,4
OD019,O010,P002,12
OD020,O010,P008,8
OD021,O011,P001,7
OD022,O011,P005,5
OD023,O012,P003,25
OD024,O012,P010,6
OD025,O013,P006,8
OD026,O013,P007,3
OD027,O014,P004,10
OD028,O014,P008,5
OD029,O015,P001,6
OD030,O015,P009,8
OD031,O016,P002,15
OD032,O016,P010,7
OD033,O017,P001,9
OD034,O017,P003,20
OD035,O018,P005,8
OD036,O018,P006,5
OD037,O019,P007,4
OD038,O019,P009,12
OD039,O020,P002,10
OD040,O020,P008,6
