OrderID,CustomerID,OrderDate,SalesChannel
O001,C001,2025-01-15,Direct
O002,C002,2025-01-18,Online
O003,C003,2025-02-03,Direct
O004,C004,2025-02-11,Distributor
O005,C005,2025-02-25,Direct
O006,C006,2025-03-08,Online
O007,C007,2025-03-19,Direct
O008,C008,2025-04-02,Online
O009,C009,2025-04-17,Distributor
O010,C010,2025-05-05,Online
O011,C011,2025-05-21,Direct
O012,C012,2025-06-09,Online
O013,C013,2025-06-24,Direct
O014,C014,2025-07-12,Online
O015,C015,2025-08-03,Direct
O016,C001,2025-08-19,Direct
O017,C005,2025-09-07,Online
O018,C007,2025-09-22,Direct
O019,C011,2025-10-10,Direct
O020,C012,2025-11-04,Online
